year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2013,Land Rover,LR4,HSE LUX,SUV,automatic,salak2d48da693027,ca,44.0,2059.0,gray,black,land rover north america llc,58500.0,42000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Land Rover,Range Rover Evoque,Pure Plus,SUV,automatic,salvp2bg5dh781072,ca,48.0,25524.0,blue,black,mercedes benz of laguna niguel,35400.0,35500.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Land Rover,Range Rover Evoque,Pure Plus,SUV,automatic,salvp1bg7dh775994,ca,46.0,9214.0,white,black,high bid trading co inc,37400.0,39000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Land Rover,Range Rover Evoque,Pure Premium,SUV,automatic,salvr2bg6dh755364,ca,5.0,5403.0,gray,black,land rover north america llc,38600.0,30500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Land Rover,Range Rover Sport,Supercharged Limited Edition,SUV,automatic,salsh2e49da763586,ca,37.0,26757.0,black,gray,jpmorgan chase bank n.a.,61000.0,60000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Porsche,Cayenne,Base,SUV,automatic,wp1aa2a26dla06093,ca,37.0,15746.0,gray,black,the hertz corporation,49300.0,46500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Porsche,911,Carrera S,Convertible,automatic,wp0cb2a99ds155897,ca,46.0,16868.0,black,black,porsche financial services,80000.0,88500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Porsche,Boxster,S,Convertible,automatic,wp0cb2a80ds132192,ca,42.0,25019.0,black,black,porsche financial services,48000.0,49500.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2013,Porsche,Cayenne,S Hybrid,SUV,automatic,wp1ae2a21dla14185,ca,38.0,26999.0,black,tan,l m auto wholesale,58000.0,55000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Porsche,Panamera,Base,Sedan,automatic,wp0aa2a73dl016450,ca,39.0,12379.0,black,black,the hertz corporation,61000.0,59750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Porsche,Panamera,Base,Sedan,automatic,wp0aa2a76dl011405,ca,41.0,33876.0,white,beige,high bid trading co inc,54000.0,58000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Porsche,Boxster,Base,Convertible,automatic,wp0ca2a81ds112651,ca,37.0,21938.0,black,black,remarketing by ge/manheim riverside,41200.0,39500.0,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
